City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mar del Plata,0,AR,1574706067,20,-46.43,-67.52,70.5,24.09
Yellowknife,75,CA,1574706068,77,62.45,-114.38,1.0,8.05
Upernavik,100,GL,1574706069,80,72.79,-56.15,31.75,14.25
Sokoni,79,CD,1574706070,83,-12.89,28.78,66.11,1.43
Wanning,75,AT,1574706071,93,48.64,13.53,42.01,5.82
Hilo,90,US,1574705836,88,19.71,-155.08,75.99,5.82
Ilulissat,40,GL,1574706073,39,69.22,-51.1,30.2,10.29
Mabamba,99,TZ,1574706074,96,-3.6,30.5,63.32,1.12
Igarka,100,RU,1574706075,94,67.47,86.57,6.42,16.62
Pevek,100,RU,1574706076,70,69.7,170.27,4.03,1.1
Hithadhoo,98,MV,1574706077,81,-0.6,73.08,83.32,17.29
Hofn,98,IS,1574706079,64,64.25,-15.21,37.4,16.11
Viedma,72,AR,1574706080,45,-40.81,-62.99,72.84,11.05
Castro,75,CL,1574706081,81,-42.48,-73.76,53.6,12.75
Kirakira,24,SB,1574706082,87,-10.46,161.92,74.34,4.56
Half Moon Bay,1,US,1574705837,58,37.46,-122.43,60.8,19.46
Lundazi,58,ZM,1574706085,83,-12.29,33.17,70.45,3.02
Karaton,20,ID,1574706086,83,-6.34,106.1,78.8,3.36
Barguzin,39,RU,1574706087,93,53.62,109.63,2.52,9.26
Bambous Virieux,40,MU,1574706088,83,-20.34,57.76,79.0,11.41
Amudat,99,UG,1574706089,77,1.95,34.95,68.29,3.36
Den Helder,90,NL,1574706090,100,52.96,4.76,48.0,8.05
Doha,20,QA,1574706091,69,25.29,51.53,73.4,3.36
Tshikapa,81,CD,1574706093,90,-6.42,20.79,71.85,1.05
Kaitong,12,CN,1574706094,34,44.81,123.15,16.32,11.9
Antalaha,100,MG,1574706095,77,-14.9,50.28,81.45,11.5
Sangar,100,RU,1574706096,99,63.92,127.47,-32.1,1.21
Gat,0,SN,1574706097,19,14.69,-16.54,100.4,6.64
Makali,40,IN,1574706098,94,12.77,77.16,69.8,6.93
Nikolskoye,92,RU,1574706099,79,59.7,30.79,24.01,4.47
Gawler,40,AU,1574706100,47,-34.6,138.75,57.2,23.04
Teruel,90,ES,1574706101,70,40.34,-1.11,60.8,4.7
Luderitz,0,NA,1574705981,59,-26.65,15.16,67.08,28.88
Qaanaaq,100,GL,1574706104,83,77.48,-69.36,11.46,2.28
Conceicao do Araguaia,40,BR,1574706105,33,-8.26,-49.26,104.0,2.24
Avera,1,US,1574706106,48,33.19,-82.53,60.8,6.93
Hermiston,90,US,1574705976,70,45.84,-119.29,48.99,9.17
Anloga,20,GH,1574705872,74,5.79,0.9,86.0,10.29
Burns Lake,32,CA,1574706109,76,54.23,-125.76,27.05,3.76
Iracoubo,100,GF,1574706110,77,5.48,-53.21,83.25,14.2
Havelock,1,US,1574706111,48,34.88,-76.9,64.4,10.29
Murchison,84,AU,1574706113,60,-36.62,145.22,60.01,13.82
Mercedes,100,UY,1574706114,93,-33.25,-58.03,63.0,4.0
Puerto Escondido,20,MX,1574706115,66,15.86,-97.07,86.0,6.93
Avarua,100,CK,1574705851,94,-21.21,-159.78,71.6,6.93
La Sarre,95,CA,1574706117,88,48.8,-79.2,29.64,3.42
Havre-Saint-Pierre,90,CA,1574706118,98,50.23,-63.6,33.8,10.29
New Norfolk,90,AU,1574706084,93,-42.78,147.06,53.01,14.99
Guadalupe y Calvo,89,MX,1574706120,39,26.09,-106.96,61.72,6.76
Fez,64,MA,1574706121,67,34.03,-5.02,59.0,3.36
Khatanga,100,RU,1574706123,96,71.98,102.47,-8.18,9.55
Tiksi,41,RU,1574706124,90,71.64,128.87,-30.39,6.96
Durban,100,CA,1574706116,82,51.93,-101.44,28.87,9.1
Vardo,1,US,1574706126,46,39.62,-77.74,57.2,9.17
Arraial do Cabo,40,BR,1574706092,50,-22.97,-42.02,78.8,9.17
Eyl,100,SO,1574706128,80,7.98,49.82,81.05,24.81
Tsabong,0,BW,1574706129,4,-26.02,22.4,86.54,8.03
Kindu,68,CD,1574706130,90,-2.95,25.92,71.83,1.99
Paamiut,0,GL,1574706132,54,61.99,-49.67,33.8,5.84
Bubaque,0,GW,1574706133,69,11.28,-15.83,83.3,13.11
Marinette,20,US,1574706134,65,45.1,-87.63,48.2,9.17
George,70,MW,1574706135,67,-15.35,34.83,79.14,3.02
Saint-Philippe,20,CA,1574706136,79,45.36,-73.48,44.6,16.11
Sabha,0,LY,1574706137,35,27.03,14.43,64.63,8.37
Sinnamary,100,GF,1574706138,77,5.38,-52.96,83.25,14.2
Verkhoyansk,19,RU,1574706139,77,67.55,133.39,-42.56,2.26
Vao,100,EE,1574706140,66,59.1,26.19,25.54,4.43
Esperance,74,AU,1574706142,76,-33.86,121.89,50.0,3.36
Nchelenge,83,ZM,1574706143,75,-9.35,28.74,73.71,6.33
Kambia,75,SL,1574706144,70,9.13,-12.92,84.2,5.82
Ribeira Grande,40,PT,1574706145,68,38.52,-28.7,66.2,24.16
Northam,0,AU,1574706146,40,-31.65,116.67,68.0,6.93
Caravelas,99,BR,1574706147,66,-17.73,-39.27,75.45,10.31
Bilma,95,NE,1574706148,16,18.69,12.92,81.57,9.04
Gaoua,0,BF,1574706149,19,10.33,-3.18,88.14,1.72
Melito di Porto Salvo,40,IT,1574706151,82,37.92,15.77,59.0,5.82
Rawson,0,AR,1574706152,44,-43.3,-65.11,64.0,10.78
Los Llanos de Aridane,75,ES,1574706153,64,28.66,-17.92,69.8,8.05
Atuona,24,PF,1574706154,71,-9.8,-139.03,80.31,16.91
Kapaa,1,US,1574706155,78,22.08,-159.32,78.8,6.93
Murray Bridge,80,AU,1574706156,65,-35.12,139.28,55.99,7.0
Mahajanga,40,MG,1574705948,94,-15.72,46.32,78.8,4.7
Beringovskiy,100,RU,1574706158,94,63.05,179.32,33.19,21.14
Lukovetskiy,90,RU,1574706159,79,64.29,41.92,28.4,6.71
Bukachacha,99,RU,1574706160,94,52.99,116.91,-2.96,4.56
Quatre Cocos,40,MU,1574706162,83,-20.21,57.76,79.0,11.41
Cubuk,75,TR,1574706163,52,40.24,33.03,52.0,3.36
Tiznit,0,MA,1574706164,58,29.7,-9.73,65.37,3.36
Anju,0,KP,1574706165,50,39.62,125.66,28.42,3.83
Sao Filipe,0,CV,1574706166,79,14.9,-24.5,75.85,13.31
Saskylakh,100,RU,1574706167,95,71.97,114.09,-8.72,10.67
Nouadhibou,0,MR,1574706168,64,20.93,-17.03,71.6,16.11
Kupang,95,ID,1574706169,75,-10.16,123.6,82.71,7.14
Muros,90,ES,1574706171,93,42.77,-9.06,62.01,10.29
Port Alfred,26,ZA,1574706172,85,-33.59,26.89,66.99,4.0
Malayal,75,PH,1574706173,94,7.21,121.94,75.2,1.12
Faya,19,SA,1574706174,81,18.39,42.45,57.2,3.2
Dorchester,90,CA,1574706175,93,45.9,-64.52,37.0,17.22
Thompson,90,CA,1574706176,85,55.74,-97.86,21.2,6.93
Tasiilaq,22,GL,1574706177,42,65.61,-37.64,30.2,3.36
Adrar,0,DZ,1574706178,23,27.87,-0.29,75.2,5.82
Kavieng,85,PG,1574706179,72,-2.57,150.8,83.12,11.72
Hirara,100,JP,1574706180,83,24.8,125.28,72.0,26.89
Nemuro,0,JP,1574706181,61,43.32,145.57,32.86,17.81
Teluknaga,20,ID,1574706183,83,-6.1,106.64,81.0,3.36
Tabou,49,CI,1574706184,81,4.42,-7.36,79.9,3.0
Bauta,75,CU,1574706185,65,22.98,-82.55,82.4,8.05
Novi Bilokorovychi,100,UA,1574706186,69,51.12,28.05,29.52,10.07
Saldanha,100,PT,1574706187,90,41.42,-6.55,50.09,5.06
Terra Santa,10,BR,1574706189,38,-2.1,-56.49,97.3,6.17
East London,65,ZA,1574706190,72,-33.02,27.91,66.2,11.41
Brae,75,GB,1574706191,93,60.4,-1.35,48.2,18.34
Hami,100,CN,1574706192,36,42.84,93.51,27.73,2.71
San Patricio,0,PY,1574706193,29,-26.98,-56.83,98.87,7.18
Dabat,86,ET,1574706194,74,12.98,37.77,61.11,5.73
Hualmay,10,PE,1574706195,59,-11.1,-77.61,74.46,11.01
Mangan,75,IN,1574706196,81,27.5,88.54,47.68,0.85
Padang,86,ID,1574706198,92,-0.92,100.36,69.44,2.35
Prabumulih,3,ID,1574706199,90,-3.5,104.19,75.18,1.95
Sonari,100,IN,1574706200,89,27.03,95.02,67.41,1.95
Samarai,10,PG,1574706201,86,-10.62,150.67,70.65,4.76
Beloha,0,MG,1574706202,52,-25.17,45.06,78.87,6.29
Airai,72,TL,1574706203,86,-8.93,125.41,65.1,2.75
Smolensk,90,RU,1574706204,73,54.79,32.05,24.08,7.54
Makakilo City,40,US,1574705950,94,21.35,-158.09,80.6,4.45
Walvis Bay,20,NA,1574706206,82,-22.95,14.51,62.01,9.17
Inhambane,20,MZ,1574706207,78,-23.87,35.38,80.6,10.49
Aba,75,NG,1574706208,79,5.11,7.36,84.2,8.05
Touros,40,BR,1574706210,55,-5.2,-35.46,87.8,14.99
Haines Junction,99,CA,1574706211,94,60.75,-137.51,4.68,4.14
Souillac,75,FR,1574706212,93,45.6,-0.6,55.0,8.05
Shimanovsk,91,RU,1574706213,96,52.0,127.67,-1.89,3.94
Loandjili,40,CG,1574706214,83,-4.77,11.87,82.4,10.29
Woodland,1,US,1574706215,26,38.68,-121.77,62.01,18.34
Tezu,99,IN,1574706216,55,27.93,96.16,66.67,1.61
Ponta do Sol,85,BR,1574706218,70,-20.63,-46.0,76.35,2.68
Lebu,20,ET,1574706219,82,8.96,38.73,59.0,11.41
Lagoa,75,PT,1574706220,100,37.14,-8.45,62.01,5.82
Copacabana,17,BO,1574706221,59,-16.17,-69.08,51.98,4.25
Pila,75,PH,1574706222,78,14.24,121.36,81.0,4.7
Lewiston,1,US,1574706223,49,44.1,-70.21,50.0,16.11
Butaritari,100,KI,1574706224,75,3.07,172.79,83.16,3.24
Kaeo,53,NZ,1574706225,100,-35.1,173.78,53.01,9.15
Kribi,98,CM,1574706226,83,2.94,9.91,79.97,6.76
San Vicente,75,EC,1574706228,70,-0.59,-80.41,84.2,9.17
Coihaique,75,CL,1574706229,54,-45.58,-72.07,53.6,9.17
Christchurch,76,NZ,1574706000,87,-43.53,172.64,57.0,6.93
Ertil,91,RU,1574706231,39,51.84,40.8,21.69,9.24
Poya,13,NC,1574706232,78,-21.35,165.16,71.6,8.01
Comodoro Rivadavia,75,AR,1574706233,25,-45.87,-67.48,73.4,20.8
Georgetown,40,GY,1574706072,66,6.8,-58.16,89.6,11.41
Sabinopolis,99,BR,1574706235,82,-18.67,-43.08,68.31,6.76
Vestmannaeyjar,20,IS,1574706237,75,63.44,-20.27,41.0,5.82
Valentin Gomez Farias,90,MX,1574706238,27,24.05,-104.7,66.99,2.24
Valvatna,40,NO,1574706239,87,59.77,5.43,46.0,3.36
Cabanas,70,BR,1574706240,27,-8.41,-36.34,90.77,6.6
Kobryn,1,BY,1574706242,78,52.21,24.36,28.71,9.55
Clyde River,90,CA,1574706243,92,70.47,-68.59,15.8,10.29
College,90,US,1574706174,92,64.86,-147.8,15.8,6.93
Isiro,92,CD,1574706245,96,2.77,27.62,68.76,1.28
Klaksvik,100,FO,1574706246,87,62.23,-6.59,46.4,12.75
Robertsport,24,LR,1574706248,77,6.75,-11.37,82.8,8.43
Port Moresby,40,PG,1574706249,100,-9.47,147.16,71.6,3.36
Dunedin,40,NZ,1574706250,80,-45.87,170.5,55.99,5.01
Pingliang,86,CN,1574706251,87,35.54,106.68,25.43,2.66
San-Pedro,58,CI,1574706252,71,4.75,-6.64,83.37,7.52
Araouane,0,ML,1574706253,17,18.9,-3.53,78.3,6.55
Shediac,90,CA,1574706254,93,46.22,-64.55,37.0,17.22
Dicabisagan,64,PH,1574706255,85,17.08,122.42,78.03,12.77
Aromashevo,40,RU,1574706256,96,56.86,68.64,2.59,3.36
Estelle,33,FR,1574706258,81,43.97,3.47,51.01,2.24
Benghazi,22,LY,1574706259,67,32.12,20.07,64.62,17.98
La Rioja,92,AR,1574706260,47,-29.41,-66.86,75.52,9.51
Port Antonio,75,JM,1574706261,62,18.18,-76.45,84.2,8.05
Yining,63,CN,1574706262,90,29.04,114.56,39.92,1.63
Cochrane,75,CL,1574706263,44,-47.25,-72.57,59.0,6.93
Sept-Iles,90,CA,1574706264,98,50.2,-66.38,34.0,6.93
Sebastian,1,US,1574706081,52,27.82,-80.47,71.01,5.82
Magalia,20,US,1574706095,24,39.81,-121.58,61.0,25.28
Farafangana,0,MG,1574706268,74,-22.82,47.83,77.67,14.67
Haimen,54,CN,1574706269,77,31.87,121.18,51.01,5.44
Bam,83,IR,1574706270,39,29.11,58.36,50.65,6.2
Zeya,100,RU,1574706271,98,53.74,127.27,-12.68,2.24
Ambulu,5,ID,1574706272,72,-8.35,113.61,80.64,2.98
Lahij,5,YE,1574706273,75,13.06,44.88,78.66,8.88
Fayaoue,93,NC,1574706274,76,-20.65,166.53,74.07,19.17
Vitoria,39,BR,1574706276,41,-8.36,-72.77,93.06,4.43
Palmer,40,AU,1574706277,47,-34.85,139.16,57.2,23.04
Jaltenango,26,MX,1574706278,59,15.87,-92.72,80.89,2.3
Ushtobe,99,KZ,1574706279,96,45.25,77.98,22.28,0.58
Santa Maria,75,BR,1574706280,88,-16.02,-48.01,69.8,2.24
Nyaregyhaza,0,HU,1574706281,86,47.26,19.5,44.01,2.24
Qaqortoq,20,GL,1574706282,45,60.72,-46.03,26.6,4.7
Fortuna,20,US,1574706283,76,40.6,-124.16,52.0,11.41
Sandpoint,40,US,1574706171,80,48.28,-116.55,37.0,6.93
Lavrentiya,100,RU,1574706285,83,65.58,-170.99,26.74,23.44
Rorvik,100,NO,1574706169,68,64.86,11.24,32.0,2.24
Chai Badan,93,TH,1574706288,47,15.2,101.13,80.01,5.77
Bambanglipuro,57,ID,1574706289,91,-7.95,110.28,74.84,3.49
Vostok,23,RU,1574706290,94,46.45,135.83,-4.13,5.12
Vaasa,90,FI,1574706291,91,63.1,21.62,34.0,9.17
Rabo de Peixe,75,PT,1574706292,77,37.8,-25.58,66.2,17.22
Zhuhai,62,CN,1574706293,55,40.71,112.04,10.4,4.47
Porto Novo,75,BR,1574706294,53,-23.68,-45.44,75.2,3.36
San Policarpo,100,PH,1574706295,83,12.18,125.51,80.65,11.97
Macau,0,BR,1574706296,77,-5.11,-36.64,81.39,18.32
High Level,90,CA,1574706298,100,58.52,-117.13,15.8,12.75
Faanui,97,PF,1574706299,75,-16.48,-151.75,81.07,5.39
Mahibadhoo,96,MV,1574706300,77,3.78,72.97,83.08,12.1
Tete,75,MZ,1574706301,88,-16.16,33.59,75.2,6.93
Sumbe,90,AO,1574706302,78,-11.2,13.84,78.8,5.82
Naftalan,75,AZ,1574706303,74,40.5,46.82,37.4,4.7
Cidreira,0,BR,1574706304,72,-30.17,-50.22,69.06,25.37
Kuryk,28,KZ,1574706306,52,43.18,51.68,42.46,18.84
Pitimbu,20,BR,1574706307,62,-7.47,-34.81,86.0,12.75
Esik,90,KZ,1574706308,92,43.36,77.47,26.6,6.71
Tabuk,48,PH,1574706309,90,17.41,121.44,73.36,8.03
Mattru,94,SL,1574706310,87,7.62,-11.83,80.26,3.69
Harnai,0,PK,1574706311,39,30.1,67.94,58.24,1.9
Kyshtovka,41,RU,1574706312,96,56.56,76.62,-0.51,4.76
Zehdenick,75,DE,1574706313,86,52.98,13.33,42.01,5.82
Constitucion,90,MX,1574706314,27,23.99,-104.67,66.99,2.24
Port Elizabeth,1,US,1574706315,46,39.31,-74.98,55.4,5.82
Ancud,75,CL,1574706316,81,-41.87,-73.83,53.6,12.75
Buala,100,SB,1574706318,83,-8.15,159.59,77.72,3.22
Quthing,7,LS,1574706319,15,-30.4,27.7,67.55,12.03
Kutum,0,SD,1574706320,14,14.2,24.66,70.63,7.45
Sur,0,OM,1574706321,64,22.57,59.53,72.52,12.5
Vila Franca do Campo,75,PT,1574706322,77,37.72,-25.43,66.2,17.22
Nyurba,61,RU,1574706323,95,63.29,118.35,-24.72,5.64
Saint George,40,GR,1574706324,93,39.45,22.34,53.6,3.36
Bathsheba,40,BB,1574706325,79,13.22,-59.52,84.2,18.34
Kungurtug,29,RU,1574706327,90,50.6,97.53,-7.49,1.52
Kamina,93,CD,1574706328,91,-8.74,25.0,67.12,0.74
Dillon,90,US,1574706029,58,45.22,-112.64,30.99,6.93
Kloulklubed,75,PW,1574706060,88,7.04,134.26,78.8,8.1
Murgab,0,TM,1574706331,74,37.5,61.97,28.4,4.7
Tortoli,20,IT,1574706332,82,39.93,9.66,60.8,20.8
Dwarka,40,IN,1574706334,60,28.58,77.04,75.99,3.74
Kjollefjord,40,NO,1574706335,74,70.95,27.35,33.8,5.82
Macheng,89,CN,1574706336,73,31.18,115.03,41.14,3.38
Muscat,26,OM,1574706220,57,23.6,58.55,75.2,4.7
Abu Kamal,100,SY,1574706338,28,34.45,40.92,59.23,7.23
Henties Bay,4,NA,1574706339,86,-22.12,14.28,62.01,5.01
Merrill,75,US,1574706341,64,42.03,-121.6,36.0,12.75
Thayetmyo,6,MM,1574706342,80,19.32,95.18,68.41,2.93
Portarlington,75,IE,1574706343,100,53.16,-7.19,51.8,3.36
Ubaitaba,75,BR,1574706344,83,-14.31,-39.32,78.8,9.17
West Monroe,40,US,1574706345,48,32.52,-92.15,69.01,11.41
Zachepylivka,30,UA,1574706346,77,49.2,35.24,28.36,9.26
Plettenberg Bay,50,ZA,1574706347,79,-34.05,23.37,63.99,7.36
Talcahuano,75,CL,1574706348,54,-36.72,-73.12,59.0,13.87
Tilichiki,100,RU,1574706349,91,60.47,166.1,13.73,7.23
Krasnoborsk,74,RU,1574706351,87,61.56,45.93,15.42,5.73
Tateyama,100,JP,1574706352,89,36.66,137.31,46.99,3.0
Carnarvon,0,ZA,1574706353,8,-30.97,22.13,73.02,13.24
Pangody,100,RU,1574706354,94,65.85,74.49,8.49,17.02
Mount Vernon,1,US,1574706355,43,38.73,-77.1,57.99,3.36
Nikolayevsk-na-amure,8,RU,1574706356,76,53.14,140.72,-6.03,9.13
Nantucket,1,US,1574706357,50,41.28,-70.1,51.8,5.82
Bredasdorp,1,ZA,1574706358,63,-34.53,20.04,66.2,21.92
Bourail,17,NC,1574706360,89,-21.57,165.5,64.26,3.09
Port Lincoln,54,AU,1574706361,66,-34.72,135.86,51.84,14.27
Torbay,90,CA,1574706362,93,47.66,-52.73,39.99,19.46
Kiunga,100,PG,1574706363,94,-6.12,141.3,71.15,1.43
Matay,0,EG,1574706364,23,28.42,30.79,70.93,6.85
Tefe,40,BR,1574706365,62,-3.35,-64.71,89.6,5.82
Fort Nelson,75,CA,1574706366,67,58.81,-122.69,21.2,2.24
Gbarnga,82,LR,1574706367,90,7.0,-9.47,77.02,0.51
Richards Bay,0,ZA,1574706368,78,-28.77,32.06,72.57,4.88
Killybegs,90,IE,1574706370,87,54.63,-8.45,51.8,8.05
Margate,75,AU,1574706371,93,-43.03,147.26,53.01,10.29
Hasaki,75,JP,1574706372,87,35.73,140.83,48.2,17.22
Tricase,40,IT,1574706373,93,39.93,18.36,55.99,5.82
Isangel,98,VU,1574706374,73,-19.55,169.27,74.52,19.01
Tigil,93,RU,1574706375,92,57.8,158.67,17.06,13.71
Nelson Bay,84,AU,1574706376,93,-32.72,152.14,66.0,4.7
Shrigonda,0,IN,1574706377,59,18.61,74.7,70.52,5.68
Bima,4,ID,1574706379,95,-8.45,118.73,71.31,1.28
Kruisfontein,83,ZA,1574706380,86,-34.0,24.73,60.6,15.61
Melfi,90,IT,1574706381,81,41.0,15.66,55.4,14.99
Bereznik,100,RU,1574706382,87,62.86,42.71,22.66,5.17
Houma,42,CN,1574706383,24,35.63,111.36,29.25,5.23
Itaqui,0,BR,1574706384,49,-29.13,-56.55,91.62,12.15
Coolum Beach,22,AU,1574706385,90,-26.53,153.09,71.01,2.44
Lazaro Cardenas,90,MX,1574706386,44,28.39,-105.62,66.0,0.4
Maumere,37,ID,1574706388,69,-8.63,122.22,77.31,5.32
Saint-Augustin,75,CA,1574706389,79,45.63,-73.98,44.01,8.05
Bakchar,15,RU,1574706390,98,57.02,82.07,-2.61,3.67
Chifeng,100,CN,1574706391,23,42.27,118.96,16.86,7.31
Xichang,33,CN,1574706392,95,27.88,102.25,37.2,3.83
Rundu,81,NA,1574706394,35,-17.91,19.77,84.6,3.96
Homer,1,US,1574706395,63,59.64,-151.54,32.0,3.36
Waipawa,0,NZ,1574706396,94,-39.94,176.59,51.01,1.99
Sri Aman,100,MY,1574706397,100,1.24,111.46,77.0,1.43
Rio Grande,20,BR,1574706224,51,-32.03,-52.1,80.6,20.8
Virginia Beach,1,US,1574706137,44,36.85,-75.98,60.01,8.05
Ler,100,NO,1574706400,88,63.2,10.3,39.2,2.24
San Borja,0,BO,1574706401,37,-14.86,-66.75,95.67,6.73
Mochudi,20,BW,1574706403,17,-24.38,26.15,82.4,1.12
Fare,92,PF,1574706404,76,-16.7,-151.02,81.64,7.09
Kristiansund,100,NO,1574706405,86,63.12,7.73,39.2,3.36
Aykhal,71,RU,1574706406,75,65.95,111.51,-16.6,2.24
Singaraja,0,ID,1574706407,70,-8.11,115.08,81.39,8.86
Fastovetskaya,0,RU,1574706408,75,45.92,40.15,41.22,15.99
Ilo,98,PE,1574706410,73,-17.65,-71.34,73.4,14.99
Lovington,5,US,1574706111,16,32.94,-103.35,66.0,10.29
Noumea,100,NC,1574706412,82,-22.28,166.46,77.0,3.36
Marienburg,90,DE,1574706413,100,52.12,9.98,42.01,4.7
Borger,90,NL,1574706414,100,52.92,6.79,44.01,8.05
Westport,40,US,1574706402,61,41.14,-73.36,52.0,16.11
Kamyshin,0,RU,1574706416,53,50.08,45.4,17.56,5.84
Timbuktu,0,ML,1574706417,11,16.77,-3.01,84.79,10.16
Ostrovnoy,100,RU,1574706418,97,68.05,39.51,27.68,12.57
Evensk,100,RU,1574706419,97,61.92,159.24,-2.54,14.27
Bilibino,100,RU,1574706421,84,68.06,166.44,-7.53,4.29
Paita,40,PE,1574706422,100,-5.09,-81.11,62.6,16.11
Kieta,94,PG,1574706423,76,-6.22,155.63,79.38,11.77
Mehamn,40,NO,1574706424,74,71.03,27.85,33.8,5.82
Balurghat,24,IN,1574706425,73,25.22,88.78,69.06,3.38
Pisco,0,PE,1574706426,30,-13.71,-76.2,71.6,6.93
Ishigaki,96,JP,1574706427,85,24.34,124.16,71.6,25.99
Timmins,90,CA,1574706429,86,48.48,-81.33,28.4,2.24
Norman Wells,90,CA,1574706430,92,65.28,-126.83,14.0,14.99
Nampula,90,MZ,1574706431,100,-15.12,39.26,71.6,9.17
Wewak,98,PG,1574706432,88,-3.55,143.63,76.69,4.09
Rosa Zarate,76,EC,1574706433,72,0.33,-79.47,83.07,3.22
Port Hardy,20,CA,1574706434,86,50.7,-127.42,39.2,9.17
Dir,9,CM,1574706436,35,6.33,13.54,76.78,3.06
Lithakia,75,GR,1574706437,93,37.72,20.83,60.8,15.52
Oistins,40,BB,1574706438,79,13.07,-59.53,84.2,18.34
Tairua,29,NZ,1574706439,84,-37.02,175.85,64.99,8.01
Taltal,0,CL,1574706440,60,-25.41,-70.49,66.27,11.88
